manga_name,manga_synonym,manga_japanese,manga_english,manga_type,manga_volume,manga_chapters,manga_status,manga_published,manga_genre,manga_theme,manga_demographic,manga_serialization,manga_author,manga_score,manga_ranked,manga_popularity,manga_members,manga_favorites
Mo Dao Zu Shi,"MDZS, The Master of Diabolism, The Founder of Diabolism",魔道祖师,Grandmaster of Demonic Cultivation: Mo Dao Zu Shi,Novel,4,27,Finished,"Dec  8, 2016","ActionAction,AdventureAdventure,Boys LoveBoys Love,FantasyFantasy,MysteryMystery","HistoricalHistorical,MythologyMythology,ReincarnationReincarnation",,None,Mo Xiang Tong Xiu(Story),"8.891(scored by56265,626 users)1indicates aweighted score.",#2422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1626,"14,399",846
Mikkakan no Koufuku,"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.",三日間の幸福,Three Days of Happiness,Novel,1,15,Finished,"Dec  25, 2013",DramaDrama,,,None,"Miaki, Sugaru(Story)","8.881(scored by1327013,270 users)1indicates aweighted score.",#2522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#467,"42,209","1,673"
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Kaguya Wants to be Confessed To: The Geniuses' War of Love and Brains,かぐや様は告らせたい～天才たちの恋愛頭脳戦～,Kaguya-sama: Love Is War,Manga,28,281,Finished,"May  19, 2015 to Nov  2, 2022","Award WinningAward Winning,ComedyComedy,RomanceRomance",SchoolSchool,SeinenSeinen,Young Jump,"Akasaka, Aka(Story & Art)","8.881(scored by147135147,135 users)1indicates aweighted score.",#2622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#25,"300,253","29,794"
Sousou no Frieren,"Frieren at the Funeral, Frieren the Slayer",葬送のフリーレン,Frieren: Beyond Journey's End,Manga,Unknown,Unknown,Publishing,"Apr  28, 2020 to ?","AdventureAdventure,Award WinningAward Winning,DramaDrama,FantasyFantasy",,ShounenShounen,Shounen Sunday,"Yamada, Kanehito(Story),Abe, Tsukasa(Art)","8.871(scored by5418254,182 users)1indicates aweighted score.",#2722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#79,"165,954","10,128"
Haikyuu!!,"High Kyuu!!, HQ!!, Nisekyuu!!",ハイキュー!!,Haikyu!!,Manga,45,407,Finished,"Feb  20, 2012 to Jul  20, 2020","Award WinningAward Winning,SportsSports","SchoolSchool,Team SportsTeam Sports",ShounenShounen,Shounen Jump (Weekly),"Furudate, Haruichi(Story & Art)","8.861(scored by116741116,741 users)1indicates aweighted score.",#2822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#34,"240,790","19,725"
GTO,GTO: Tomoko's Big Adventures,GTO,GTO: Great Teacher Onizuka,Manga,25,208,Finished,"Dec  11, 1996 to Jan  30, 2002","ActionAction,Award WinningAward Winning,ComedyComedy,DramaDrama,EcchiEcchi","DelinquentsDelinquents,SchoolSchool,WorkplaceWorkplace",ShounenShounen,Shounen Magazine (Weekly),"Fujisawa, Tooru(Story & Art)","8.861(scored by7173071,730 users)1indicates aweighted score.",#2922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#57,"188,139","11,824"
Kusuriya no Hitorigoto,The Pharmacist's Monologue,薬屋のひとりごと,The Apothecary Diaries,Light Novel,Unknown,Unknown,Publishing,"Aug  29, 2014 to ?","DramaDrama,MysteryMystery",MedicalMedical,,None,"Hyuuga, Natsu(Story),Shino, Touko(Art)","8.861(scored by54785,478 users)1indicates aweighted score.",#3022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#904,"23,727","1,427"
Koe no Katachi,The Shape of Voice,聲の形,A Silent Voice,Manga,7,64,Finished,"Aug  7, 2013 to Nov  19, 2014","Award WinningAward Winning,DramaDrama",,ShounenShounen,Shounen Magazine (Weekly),"Ooima, Yoshitoki(Story & Art)","8.851(scored by155977155,977 users)1indicates aweighted score.",#3122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#26,"289,399","22,966"
3-gatsu no Lion,"Sangatsu no Lion, Lion of March",3月のライオン,March Comes in Like a Lion,Manga,Unknown,Unknown,Publishing,"Jul  13, 2007 to ?","Award WinningAward Winning,DramaDrama,Slice of LifeSlice of Life","ChildcareChildcare,IyashikeiIyashikei,Strategy GameStrategy Game",SeinenSeinen,Young Animal,"Umino, Chica(Story & Art)","8.851(scored by2107721,077 users)1indicates aweighted score.",#3222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#223,"79,117","4,347"
Kaoru Hana wa Rin to Saku,The Fragrant Flowers Bloom with Dignity,薫る花は凛と咲く,The Fragrant Flower Blooms with Dignity,Manga,Unknown,Unknown,Publishing,"Oct  21, 2021 to ?","DramaDrama,RomanceRomance",SchoolSchool,,Magazine pocket,"Mikami, Saka(Story & Art)","8.841(scored by4683046,830 users)1indicates aweighted score.",#3322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#104,"133,446","9,360"
Akatsuki no Yona,Yona: The Girl Standing in the Blush of Dawn,暁のヨナ,Yona of the Dawn,Manga,48,292,Finished,"Aug  5, 2009 to Dec  19, 2025","AdventureAdventure,FantasyFantasy,RomanceRomance",,ShoujoShoujo,Hana to Yume,"Kusanagi, Mizuho(Story & Art)","8.831(scored by5278152,781 users)1indicates aweighted score.",#3722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#87,"151,479","15,183"
86,Eighty Six,86―エイティシックス―,86: Eighty-Six,Light Novel,Unknown,Unknown,Publishing,"Feb  10, 2017 to ?","ActionAction,DramaDrama,Sci-FiSci-Fi",MilitaryMilitary,,None,"Shirabi(Art),Asato, Asato(Story)","8.831(scored by1280212,802 users)1indicates aweighted score.",#3622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#371,"51,138","3,496"
Uma Musume Cinderella Gray,"UmaMusu Cinderella Gray, Uma Musume Cinderella Gray Gaiden: The Mermaid Left Behind",ウマ娘 シンデレラグレイ,,Manga,23,211,Finished,"Jun  11, 2020 to Dec  25, 2025","DramaDrama,Slice of LifeSlice of Life,SportsSports",,SeinenSeinen,Young Jump,"Kuzumi, Taiyou(Art)","8.841(scored by24902,490 users)1indicates aweighted score.",#3322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2880,"8,549",553
Kokou no Hito,,孤高の人,The Climber,Manga,17,170,Finished,"Nov  1, 2007 to Oct  27, 2011","Award WinningAward Winning,DramaDrama,SportsSports",PsychologicalPsychological,SeinenSeinen,Young Jump,"Sakamoto, Shinichi(Story & Art)","8.831(scored by4819848,198 users)1indicates aweighted score.",#3522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#94,"146,641","9,018"
Re:Zero kara Hajimeru Isekai Seikatsu,"ReZero, Re: Life in a different world from zero",Re：ゼロから始める異世界生活,Re:ZERO -Starting Life in Another World-,Light Novel,Unknown,Unknown,Publishing,"Jan  23, 2014 to ?","DramaDrama,FantasyFantasy,SuspenseSuspense","IsekaiIsekai,PsychologicalPsychological,Time TravelTime Travel",,None,"Nagatsuki, Tappei(Story),Ootsuka, Shinichirou(Art)","8.831(scored by2603126,031 users)1indicates aweighted score.",#3822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#214,"82,570","6,352"
Mushoku Tensei: Isekai Ittara Honki Dasu,,無職転生 ～異世界行ったら本気だす～,Mushoku Tensei: Jobless Reincarnation,Light Novel,26,330,Finished,"Jan  23, 2014 to Nov  25, 2022",FantasyFantasy,"IsekaiIsekai,ReincarnationReincarnation",,None,"Rifujin na Magonote(Story),Sirotaka(Art)","8.821(scored by4330443,304 users)1indicates aweighted score.",#3922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#162,"99,953","9,129"
Monogatari Series: Final Season,"Tsukimonogatari, Koyomimonogatari, Zoku Owarimonogatari",〈物語〉シリーズ ファイナルシーズン,,Light Novel,6,231,Finished,"Sep  28, 2012 to Sep  18, 2014","ComedyComedy,MysteryMystery,SupernaturalSupernatural",VampireVampire,,None,"NISIO, ISIN(Story),VOFAN(Art)","8.821(scored by60956,095 users)1indicates aweighted score.",#4022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#932,"23,247",512
Tian Guan Cifu,TGCF,天官赐福,Heaven Official's Blessing,Manhua,Unknown,Unknown,Publishing,"Oct  19, 2019 to ?","ActionAction,AdventureAdventure,Boys LoveBoys Love,DramaDrama,FantasyFantasy","HistoricalHistorical,MythologyMythology",,None,"Mo Xiang Tong Xiu(Story),STARember(Art)","8.811(scored by55505,550 users)1indicates aweighted score.",#4122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1158,"18,984",882
Nana,,NANA,Nana,Manga,21,84,On Hiatus,"May  26, 2000 to May  26, 2009","Award WinningAward Winning,DramaDrama,RomanceRomance","Adult CastAdult Cast,Love PolygonLove Polygon,MusicMusic",ShoujoShoujo,Cookie,"Yazawa, Ai(Story & Art)","8.811(scored by5176251,762 users)1indicates aweighted score.",#4222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#72,"170,056","13,385"
Kaze no Tani no Nausicaä,Kaze no Tani no Nausicaa,風の谷のナウシカ,Nausicaä of the Valley of the Wind,Manga,7,59,Finished,"Oct  9, 1982 to Feb  10, 1994","ActionAction,AdventureAdventure,Award WinningAward Winning,FantasyFantasy",,,Animage,"Miyazaki, Hayao(Story & Art)","8.801(scored by1891318,913 users)1indicates aweighted score.",#4322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#271,"67,373","3,679"
Ookami to Koushinryou,"Okami to Koshinryo, Spice and Wolf",狼と香辛料,Spice & Wolf,Light Novel,Unknown,Unknown,Publishing,"Feb  10, 2006 to ?","AdventureAdventure,DramaDrama,FantasyFantasy,RomanceRomance,SupernaturalSupernatural","Adult CastAdult Cast,HistoricalHistorical",,None,"Hasekura, Isuna(Story),Ayakura, Juu(Art)","8.801(scored by1726117,261 users)1indicates aweighted score.",#4422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#252,"70,623","4,256"
Dungeon Meshi,Dungeon Food,ダンジョン飯,Delicious in Dungeon,Manga,14,102,Finished,"Feb  15, 2014 to Sep  15, 2023","AdventureAdventure,Award WinningAward Winning,ComedyComedy,FantasyFantasy,GourmetGourmet",,SeinenSeinen,Harta,"Kui, Ryouko(Story & Art)","8.791(scored by3946939,469 users)1indicates aweighted score.",#4522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#144,"109,023","7,284"
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,,本好きの下剋上 ～司書になるためには手段を選んでいられません～,Ascendance of a Bookworm: I'll Do Anything to Become a Librarian!,Light Novel,33,772,Finished,"Jan  25, 2015 to Dec  9, 2023",FantasyFantasy,"IsekaiIsekai,ReincarnationReincarnation",,None,"Shiina, You(Art),Kazuki, Miya(Story)","8.791(scored by62886,288 users)1indicates aweighted score.",#4622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#993,"21,564","1,334"
Hunter x Hunter,HxH,HUNTER×HUNTER,Hunter x Hunter,Manga,Unknown,Unknown,Publishing,"Mar  3, 1998 to ?","ActionAction,AdventureAdventure,FantasyFantasy",,ShounenShounen,Shounen Jump (Weekly),"Togashi, Yoshihiro(Story & Art)","8.771(scored by140177140,177 users)1indicates aweighted score.",#5022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#23,"307,761","26,275"
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,,ようこそ実力至上主義の教室へ,Classroom of the Elite,Light Novel,14,110,Finished,"May  25, 2015 to Sep  25, 2019",DramaDrama,"PsychologicalPsychological,SchoolSchool",,None,"Tomose, Shunsaku(Art),Kinugasa, Shougo(Story)","8.771(scored by3707637,076 users)1indicates aweighted score.",#4822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#172,"96,390","8,380"
"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.","Mikkakan no Koufuku, Three Days of Happiness",寿命を買い取ってもらった。一年につき、一万円で。,I sold my life for ten thousand yen per year.,Manga,3,18,Finished,"Aug  10, 2016 to Oct  25, 2017",DramaDrama,,ShounenShounen,Shounen Jump+,"Taguchi, Shouichi(Art),Miaki, Sugaru(Story)","8.771(scored by100845100,845 users)1indicates aweighted score.",#4922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#55,"189,532","15,023"
No Home,Jib-i Eopseo,집이 없어,,Manhwa,Unknown,269,Finished,"Dec  31, 2018 to Aug  5, 2024",Slice of LifeSlice of Life,SchoolSchool,,Naver Webtoon,Wanan(Story & Art),"8.771(scored by35223,522 users)1indicates aweighted score.",#4722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2110,"11,390",661
On the Way to Meet Mom,On the Way to See My Mom,엄마를 만나러 가는 길,On the Way to Meet Mom,Manhwa,2,31,Finished,"Nov  25, 2024 to Jun  10, 2025","AdventureAdventure,FantasyFantasy",ChildcareChildcare,,Naver Webtoon,Gomyang(Story & Art),"8.771(scored by36173,617 users)1indicates aweighted score.",#5122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2671,"9,141",257
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,"Oregairu, My Teen Romantic Comedy SNAFU",やはり俺の青春ラブコメはまちがっている。,"My Youth Romantic Comedy Is Wrong, As I Expected",Light Novel,18,168,Finished,"Mar  18, 2011 to Apr  20, 2021","ComedyComedy,RomanceRomance","Love PolygonLove Polygon,SchoolSchool",,None,"Watari, Wataru(Story),Ponkan⑧(Art)","8.741(scored by2145221,452 users)1indicates aweighted score.",#5222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#229,"76,409","4,161"
Hajime no Ippo,"The Fighting!, Fighting Spirit, The Fighting! Ippo, Hajime no Ippo Gaiden: Naniwa Tiger",はじめの一歩,Hajime no Ippo: Fighting Spirit!,Manga,Unknown,Unknown,Publishing,"Sep  27, 1989 to ?","Award WinningAward Winning,SportsSports",Combat SportsCombat Sports,ShounenShounen,Shounen Magazine (Weekly),"Morikawa, George(Story & Art)","8.741(scored by4141841,418 users)1indicates aweighted score.",#5322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#159,"100,443","7,559"
Uchuu Kyoudai,Uchu Kyodai,宇宙兄弟,Space Brothers,Manga,Unknown,Unknown,Publishing,"Dec  6, 2007 to ?","Award WinningAward Winning,DramaDrama,Sci-FiSci-Fi","Adult CastAdult Cast,SpaceSpace,WorkplaceWorkplace",SeinenSeinen,Morning,"Koyama, Chuuya(Story & Art)","8.741(scored by91939,193 users)1indicates aweighted score.",#5422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#470,"42,126","1,521"
Veil,"Veil: Body Temperature of Orange, Veil: Calming Noir, Veil: Graceful White, Veil: Transparent Burns",Veil,Veil,Manga,Unknown,Unknown,Publishing,"Nov  15, 2019 to ?","RomanceRomance,Slice of LifeSlice of Life",HistoricalHistorical,,None,"Fukuda, Ikumi(Story & Art)","8.741(scored by55615,561 users)1indicates aweighted score.",#5522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#783,"26,899","1,219"
Fata Morgana no Yakata: Anata no Genten ni Itaru Monogatari,,ファタモルガーナの館 ―The house in Fata morgana― あなたの原典に至る物語,The House in Fata Morgana,Light Novel,5,21,Finished,"Aug  8, 2014 to Jan  14, 2016","DramaDrama,HorrorHorror,MysteryMystery,SupernaturalSupernatural",,,None,"Hanada, Keika(Story),Moyataro(Art)","8.741(scored by18581,858 users)1indicates aweighted score.",#5622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2823,"8,719",602
My Bias Gets on the Last Train,,내 최애는 막차를 탄다,My Bias Gets on the Last Train,Manhwa,Unknown,Unknown,Publishing,"Dec  14, 2024 to ?",RomanceRomance,,,Naver Webtoon,Jixksee(Story & Art),"8.731(scored by50095,009 users)1indicates aweighted score.",#5722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1660,"14,174",582
Shoujo Shuumatsu Ryokou,The End Girl Trip,少女終末旅行,Girls' Last Tour,Manga,6,47,Finished,"Feb  21, 2014 to Jan  12, 2018","AdventureAdventure,Award WinningAward Winning,Slice of LifeSlice of Life",IyashikeiIyashikei,,Kurage Bunch,Tsukumizu(Story & Art),"8.731(scored by3446034,460 users)1indicates aweighted score.",#5822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#199,"87,366","7,361"
